produto;unidade;posicao;peso;tipo;compras;usada_por_codigo;classificacao;motivo
"001.002.00051";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.002.00077";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.003.00001";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.003.00001";"UN";"2";"1";"Fator";"true";"false";"suportada";""
"001.004.00005";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.004.00034";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.005.00191";"PC";"1";"1";"Fator";"true";"true";"suportada";""
"001.006.00016";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00029";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00031";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00036";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00054";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00057";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00068";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00093";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00093";"KG";"2";"0.1";"Fator";"false";"false";"suportada";""
"001.006.00094";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.006.00094";"UN";"2";"1";"Fator";"false";"false";"suportada";""
"001.006.00096";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.007.00018";"M";"1";"1";"Fator";"true";"true";"suportada";""
"001.007.00025";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.007.00025";"KG";"2";"0.005";"Fator";"false";"false";"suportada";""
"001.009.00068";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.009.00079";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.009.00089";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.009.00162";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.009.00164";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.009.00165";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.012.003";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.012.004";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.012.005";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.012.006";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.012.022";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00036";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00050";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00062";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00062";"GALAO";"2";"1";"Fator";"false";"false";"suportada";""
"001.013.00089";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00124";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00124";"KG";"2";"1";"Fator";"true";"false";"suportada";""
"001.013.00127";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00127";"M";"2";"1";"Fator";"true";"false";"suportada";""
"001.013.00136";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00167";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00167";"UN";"2";"0.01";"Fator";"false";"false";"suportada";""
"001.013.00168";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00168";"UN";"2";"0.01";"Fator";"false";"false";"suportada";""
"001.013.00185";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00185";"UN";"2";"0.01";"Fator";"false";"false";"suportada";""
"001.013.00199";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00208";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00208";"FARDO";"2";"25";"Fator";"true";"false";"suportada";""
"001.013.00249";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00259";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00358";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00382";"PACOTE";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00382";"UNID";"2";"0.1";"Fator";"true";"false";"suportada";""
"001.013.00418";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00509";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00512";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00521";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00522";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00529";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.013.00546";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00551";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.013.00551";"PACOTE";"2";"1";"Fator";"true";"false";"suportada";""
"001.014.001";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.002";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.003";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.005";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.006";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.007";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.015";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.024";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.014.031";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
