"Chave","Numero","Comp","Classe","Valor"
"14696","36644","2025-07","20.02","3656,61"
"14701","36645","2025-07","20.02","3656,61"
"14703","36646","2025-07","20.02","3656,61"
"14804","36663","2025-07","20.02","1828,31"
"14805","36664","2025-07","20.02","1828,3"
"14932","36720","2025-07","20.02","1828,31"
"14933","36721","2025-07","20.02","1828,3"
"15246","36775","2025-07","20.02","3656,61"
"15619","36836","2025-07","20.02","3656,61"
"15867","36893","2025-08","20.02","3656,61"
"15974","36923","2025-08","20.02","3656,61"
"15978","36924","2025-08","20.02","3656,61"
"15998","36926","2025-08","20.02","3656,61"
"15999","36927","2025-08","20.02","3656,61"
"16074","36950","2025-08","20.02","3656,61"
"16530","37044","2025-08","20.02","1828,31"
"16531","37045","2025-08","20.02","1828,3"
"16803","37117","2025-09","20.02","1828,31"
"16804","37118","2025-09","20.02","1828,3"
"17268","37231","2025-09","20.02","1828,31"
"17278","37232","2025-09","20.02","1828,3"
"18031","37384","2025-10","20.02","1218,87"
"18032","37385","2025-10","20.02","1218,87"
"18047","37386","2025-10","20.02","1218,87"
"18464","37505","2025-10","20.02","914,15"
"18465","37506","2025-10","20.02","914,15"
"18466","37507","2025-10","25.10","914,15"
"18467","37508","2025-10","25.10","914,16"
"18582","37528","2025-10","25.10","1828,31"
"18581","37527","2025-10","25.10","1828,3"
"19140","37573","2025-10","25.10","3656,61"
"19509","37681","2025-11","25.10","3656,61"
"20728","37846","2025-12","25.10","1218,87"
"20729","37847","2025-12","20.02","1218,87"
"20730","37848","2025-12","20.02","1218,87"
"20828","37883","2025-12","20.02","1218,87"
"20830","37884","2025-12","20.02","1218,87"
"20829","37885","2025-12","20.02","1218,87"
"21915","38025","2026-01","20.02","1828,3"
"21917","38026","2026-01","20.02","1828,31"
"22203","38057","2026-01","20.02","1828,3"
"22204","38058","2026-01","20.02","1828,31"
"22535","38109","2026-01","20.02","3656,61"
"22536","38110","2026-01","20.02","1828,3"
"22543","38112","2026-01","20.02","1218,87"
"22544","38113","2026-01","20.02","1218,87"
"22545","38114","2026-01","20.02","1218,87"
"22537","38111","2026-01","20.02","1828,31"
"22577","38117","2026-01","20.02","1828,3"
"22578","38118","2026-01","20.02","1828,31"
"22782","38161","2026-02","20.02","3656,61"
"22967","38199","2026-02","20.02","3656,61"
"23167","38236","2026-02","20.02","1218,87"
"23169","38237","2026-02","20.02","1218,87"
"23170","38238","2026-02","20.02","1218,87"
"23253","38279","2026-02","20.02","1828,3"
"23254","38280","2026-02","20.02","1828,31"
"23883","38341","2026-03","20.02","1828,3"
"23882","38342","2026-03","20.02","1828,31"
"24171","38390","2026-03","20.02","3656,61"
"24478","38446","2026-03","20.02","1828,3"
"24482","38447","2026-03","20.02","1828,31"
"24680","38494","2026-03","20.02","3656,61"
"24952","38555","2026-03","20.02","3656,61"
"25444","38643","2026-04","20.02","3656,61"
"25564","38668","2026-04","20.02","1828,3"
"25566","38670","2026-04","20.02","1828,31"
"25857","38757","2026-04","20.02","987,25"
"25858","38758","2026-04","20.02","987,25"
"25859","38759","2026-04","20.02","987,25"
"25860","38760","2026-04","20.02","987,25"
"26175","38802","2026-04","20.02","789,8"
"26176","38803","2026-04","20.02","789,8"
"26177","38804","2026-04","20.02","789,8"
"26178","38805","2026-04","20.02","789,8"
"26179","38806","2026-04","20.02","789,8"
"26646","38915","2026-05","20.02","3949"
"26829","38971","2026-05","20.02","3949"
"26957","38986","2026-05","20.02","3949"
"27566","39085","2026-06","20.02","1974,5"
"27567","39086","2026-06","20.02","1974,5"
"28105","39190","2026-06","20.02","3949"
"28378","39267","2026-06","20.02","1974,5"
"28380","39268","2026-06","20.02","1974,5"
